,YEAR,STATE NAME,DISTRICT NAME,TOTAL POULATION,PERCENTAGE URBAN POPULATION,0-6 POPULATION,GROWTH RATE,SEX RATIO,PERCENTAGE SC POPULATION,PERCENTAGE ST POPULATION,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY,AREA (SQ. KM) (AREA SQKM),AGE GROUP 6 TO 10 (TOT 6 10 15),AGE GROUP 11 TO 13 (TOT 11 13 15),PRIMARY ONLY (SCH1),PRIMARY WITH UPPER PRIMARY (SCH2)
664,2015-16,PONDICHERRY,PONDICHERRY,946600,69.13,95432,28.73,1031,16.04,0,86.13,80.4,92.07,294,71036,44900,178,55
665,2015-16,PONDICHERRY,MAHE,41934,100,4588,13.86,1176,0.34,0,98.35,97.61,99.24,9,3235,1936,11,8
666,2015-16,PONDICHERRY,KARAIKAL,200314,49.01,21569,17.29,1048,17.65,0,87.83,82.61,93.36,157,15859,9836,74,23
667,2015-16,ANDAMAN AND NICOBAR ISLANDS,ANDAMANS,237586,55.89,23616.05,13.97,874,0,1.72,88.49,84.52,91.91,2672,17857,11335,81,39
668,2015-16,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,36819,0,4226.82,-12.48,778,0,64.28,77.5,70.7,82.65,1841,3095,1416,30,9
669,2015-16,ANDAMAN AND NICOBAR ISLANDS,MIDDLE AND NORTH ANDAMANS,105539,2.6,11651.51,-0.07,925,0,0.72,84.25,79.39,88.72,3736,8551,5579,107,36
670,2015-16,TELANGANA,ADILABAD,2737738,27.68,295675.7,10.04,1003,17.82,18.09,61.55,51.99,71.22,16105,228154,155282,3080,734
671,2015-16,TELANGANA,NIZAMABAD,2552073,23.03,268222.87,8.8,1038,14.54,7.56,62.25,52.33,72.66,7956,202468,140658,1610,551
672,2015-16,TELANGANA,KARIMNAGAR,3811738,26.08,322854.21,9.16,1009,18.8,2.83,64.87,55.18,74.72,11823,238870,177859,2126,762
673,2015-16,TELANGANA,MEDAK,3031877,24.02,348665.86,13.55,989,17.74,5.57,62.53,52.49,72.5,9699,270385,172082,2018,693
674,2015-16,TELANGANA,HYDERABAD,4010238,100,419470.89,4.71,943,6.29,1.24,80.96,78.42,83.35,217,337982,211201,1565,559
675,2015-16,TELANGANA,RANGA REDDY,5296396,70.32,595314.91,48.15,955,12.31,4.13,78.05,71.82,84,7493,453728,276427,1789,1004
676,2015-16,TELANGANA,MAHBUBNAGAR,4042191,15,502040.12,15.03,975,17.49,8.99,56.06,45.65,66.27,18432,397377,255249,2809,984
677,2015-16,TELANGANA,NALGONDA,3483648,19,354983.73,7.26,982,18.27,11.3,65.05,55.05,74.94,14240,271721,182487,2424,607
678,2015-16,TELANGANA,WARANGAL,3522644,28.34,324435.51,8.52,994,17.54,15.11,66.16,56.45,75.91,12846,248862,178944,2373,693
679,2015-16,TELANGANA,KHAMMAM,2798214,23.43,267509.26,8.5,1010,16.55,27.37,65.46,57.85,73.2,16029,202858,144185,2154,602
