rank,name,review,rated_excellent,rated_very_good,rated_average,rated_poor,rated_terrible,rating,price_range
286,The Voyager,25,8,8,4,4,1,3.5,NaN
287,Kebabistan Restaurant,15,4,8,1,2,0,4,NaN
288,Palaaram A Traditional Eatery,27,8,8,7,3,1,3.5,₹150 - ₹350
289,Shibu's Kumbalam Puttu Kada,11,3,7,1,0,0,4,NaN
290,Hotel Aryaas,8,2,6,0,0,0,4.5,NaN
291,The Hot Spot,28,11,10,3,0,4,4,NaN
292,Shivetanta Kada,5,3,0,0,0,0,5,NaN
293,Cafe de Arabia,18,6,8,3,0,1,4,NaN
294,Hotel Arul Jyothi Restaurant,15,6,6,1,1,0,4.5,NaN
295,Baywatch Family Restaurant,79,14,26,20,6,10,3.5,NaN
296,Mullapanthal Restaurant,26,11,11,2,1,1,4,NaN
297,Royal Food Court,32,7,15,6,3,1,4,NaN
298,WaffleBae,6,5,1,0,0,0,5,₹3 - ₹209
299,Pachamama Artcafe,6,5,1,0,0,0,5,₹100 - ₹250
300,Ratna Vilas,18,7,7,1,1,1,4,NaN
301,Empire Plaza,28,6,11,7,1,3,3.5,NaN
302,Lil' America Cafe & Bistro,6,5,1,0,0,0,5,"₹7,312 - ₹48,749"
303,Porta Rossa,6,5,0,1,0,0,4.5,₹450 - ₹950
304,Rassam,13,6,5,1,1,0,4,NaN
305,Hotel Vasantha Vihar,8,3,5,0,0,0,4.5,NaN
306,Hotel Annapoorna,19,2,11,6,0,0,4,NaN
307,Coq D'or,14,3,11,0,0,0,4,NaN
308,Millenium Continetal,35,8,11,8,5,2,3.5,NaN
309,The Square,5,5,0,0,0,0,5,NaN
310,La Pizza10,4,4,0,0,0,0,5,₹250 - ₹350
311,Sree Krishna Bhavan,11,3,7,0,0,0,4.5,NaN
312,Grill N Chill,6,3,1,1,0,0,4.5,NaN
313,Hotel Aishwarya,9,5,2,2,0,0,4.5,NaN
314,The Big Bang Cafe,5,4,1,0,0,0,5,₹100 - ₹600
315,Olive,20,9,7,0,2,2,4,NaN
316,Burger Bees,10,5,4,1,0,0,4.5,NaN
317,The Mexicana,19,10,4,1,1,3,4,NaN
318,Sardarji Ka Dhaba,10,1,7,2,0,0,4,NaN
